id	id_jln_bdg	bobot
1209311906	jln_0001	1
1209311510	jln_0002	1
1209311820	jln_0003	1
1209312421	jln_0004	1
1209311923	jln_0005	0.240510722
1209313302	jln_0005	0.418289007
1209313303	jln_0005	0.341200271
1209313302	jln_0006	1
1209312403	jln_0007	1
1209312403	jln_0008	1
1209312512	jln_0009	1
1209312403	jln_0010	1
1209312512	jln_0011	1
1209312414	jln_0012	1
1209311615	jln_0013	1
1209311614	jln_0014	0.358874359
1209311615	jln_0014	0.641125641
1209311614	jln_0015	0.280545622
1209311615	jln_0015	0.719454378
1209311614	jln_0016	0.367221068
1209311615	jln_0016	0.632778932
1209311614	jln_0017	0.282217028
1209311615	jln_0017	0.717782972
1209312512	jln_0018	1
1209312403	jln_0019	1
1209312709	jln_0021	1
1209313302	jln_0022	0.074751752
1209313303	jln_0022	0.069909005
1209313307	jln_0022	0.855339243
1209311908	jln_0023	1
1209311904	jln_0024	0.396106152
1209311905	jln_0024	0.536178005
1209312701	jln_0024	0.067715843
1209311618	jln_0025	0.678520291
1209311623	jln_0025	0.321479709
1209312407	jln_0026	1
1209311914	jln_0027	1
1209312515	jln_0028	0.502089071
1209312611	jln_0028	0.497910929
1209312707	jln_0029	0.981011205
1209312708	jln_0029	0.018988795
1209312417	jln_0030	0.438429715
1209312422	jln_0030	0.561570285
1209312702	jln_0031	0.417855737
1209312707	jln_0031	0.2035477
1209312708	jln_0031	0.378596563
1209312122	jln_0032	1
1209312516	jln_0033	0.42623285
1209312521	jln_0033	0.57376715
1209312516	jln_0034	0.359635761
1209312521	jln_0034	0.640364239
1209312521	jln_0035	1
1209312516	jln_0036	0.94354348
1209312521	jln_0036	0.05645652
1209312516	jln_0037	1
1209312516	jln_0038	0.62231442
1209312521	jln_0038	0.37768558
1209312707	jln_0039	1
1209311902	jln_0040	1
1209311925	jln_0041	1
1209311907	jln_0042	1
1209311907	jln_0043	1
1209311907	jln_0044	1
1209311907	jln_0045	1
1209311907	jln_0046	1
1209313205	jln_0047	0.42951629
1209313301	jln_0047	0.57048371
1209311520	jln_0048	0.984063302
1209311525	jln_0048	0.015936698
1209311623	jln_0049	1
1209311525	jln_0050	0.476288088
1209311621	jln_0050	0.523711912
1209311925	jln_0051	0.798753195
1209312721	jln_0051	0.201246805
1209311920	jln_0052	1
1209311610	jln_0053	0.522796132
1209311615	jln_0053	0.477203868
1209312721	jln_0054	1
1209312721	jln_0055	1
1209312721	jln_0056	1
1209311623	jln_0057	1
1209311623	jln_0058	1
1209311924	jln_0059	0.993105014
1209313304	jln_0059	0.006894986
1209312403	jln_0060	1
1209311623	jln_0061	1
1209311904	jln_0062	0.219200855
1209311909	jln_0062	0.312157435
1209311910	jln_0062	0.468641709
1209311617	jln_0063	1
1209312425	jln_0064	1
1209312708	jln_0065	1
1209312421	jln_0066	0.458429428
1209312422	jln_0066	0.540039366
1209311925	jln_0067	1
